edition	item_index	kr	en	jp
ORG	166	썬 수육	Sliced Boiled Pork	薄切りボイルドポーク
ORG	167	파+김치	G+K	ネギ＋キムチ
ORG	168	파+두부	G+T	ネギ＋豆腐
ORG	169	파+당면	G+N	ネギ＋春雨
ORG	170	파+돼지	G+P	ネギ＋ポーク
ORG	171	김치+당면	K+N	キムチ＋春雨
ORG	172	김치+돼지	K+P	キムチ＋ポーク
ORG	173	두부+당면	T+N	豆腐＋春雨
ORG	174	두부+돼지	T+P	豆腐＋ポーク
ORG	175	당면+돼지	N+P	春雨＋ポーク
ORG	176	파+김+당	G+K+N	ネギ＋キムチ＋春雨
ORG	177	파+김+돼	G+K+P	ネギ＋キムチ＋ポーク
ORG	178	파+두+당	G+T+N	ネギ＋豆腐＋春雨
ORG	179	파+두+돼	G+T+P	ネギ＋豆腐＋ポーク
ORG	180	파+당+돼	G+N+P	ネギ＋春雨＋ポーク
ORG	181	김+당+돼	K+N+P	キムチ＋春雨＋ポーク
ORG	182	두+당+돼	T+N+P	豆腐＋春雨＋ポーク
ORG	183	파+김+당+돼	G+K+N+P	ネギ＋キムチ＋春雨＋ポーク
ORG	184	파+두+당+돼	G+T+N+P	ネギ＋豆腐＋春雨＋ポーク
ORG	185	생 야채만두	Raw Vegetable Dumpling	生野菜餃子
ORG	186	생 김치만두	Raw Kimchi Dumpling	生キムチ餃子
ORG	187	생 고기만두	Raw Meat Dumpling	生肉餃子
ORG	188	구운 야채만두	Stir-fried Vegetable Dumpling	焼き野菜餃子
ORG	189	구운 김치만두	Stir-fried Kimchi Dumpling	焼きキムチ餃子
ORG	190	구운 고기만두	Stir-fried Meat Dumpling	焼き肉餃子
ORG	191	찐 야채만두	Steamed Vegetable Dumpling	蒸し野菜餃子
ORG	192	찐 김치만두	Steamed Kimchi Dumpling	蒸しキムチ餃子
ORG	193	찐 고기만두	Steamed Meat Dumpling	蒸し肉餃子
ORG	194	공기밥	Steamed Rice	ご飯
ORG	195	볶음밥	Fried Rice	炒飯
ORG	196	돈가스	Pork Cutlet	とんかつ
ORG	197	썬 돈가스	Sliced Pork Cutlet	切ったとんかつ
ORG	198	생선	Fish	魚
ORG	199	손질한 생선	Sliced Fish	捌いた魚
ORG	200	다진 생선	Minced Fish	魚のミンチ
ORG	201	찐 생선	Steamed Fish	蒸し魚
ORG	202	찐 어묵	Steamed Fish Cake	蒸しかまぼこ
ORG	203	생선 구이	Grilled Fish	焼き魚
ORG	204	튀긴 생선	Fried Fish	揚げ魚
ORG	205	손질한 생선+간장	Sliced Fish+Soy Sauce	捌いた魚＋醤油
ORG	206	생선 간장 찜	Soy Sauce Steamed Fish	煮付け
ORG	207	생선 간장 구이	Soy Sauce Grilled Fish	照り焼き
ORG	208	작은 공기밥	Small Steamed Rice	小盛りご飯
ORG	209	초밥	Sushi	握り寿司
ORG	210	초밥 2pcs	Sushi 2pcs	握り寿司2貫
ORG	211	주먹밥	Rice Ball	おにぎり
ORG	212	간장 주먹밥	Soy Sauce Rice Ball	醤油おにぎり
ORG	213	찐 생선 덮밥	Steamed Fish Rice Bowl	蒸し魚丼
ORG	214	돈가스 정식	Pork Cutlet+Rice Bowl	とんかつ+ご飯
ORG	215	돈가스 계란덮밥	Pork Cutlet+Egg Rice bowl	カツ丼
ORG	216	썬 삶은 닭고기	Sliced Boiled Chicken	薄切りしたゆで鶏肉
ORG	217	삶은 닭고기+밥	Boiled Chicken+Rice	ゆで鶏肉＋ご飯
ORG	218	스크램블에그 덮밥	Scrambled Egg Rice Bowl	スクランブルエッグ丼
ORG	219	삶은 닭 계란덮밥	Boiled Chicken+Egg Rice Bowl	親子丼
ORG	220	생선가스	Fish Cutlet	白身魚のフライ
ORG	221	썬 돼지+튀김가루	Sliced Pork+Frying Mix	薄切りポーク＋天ぷら粉
ORG	222	다진 생선+튀김가루	Minced Fish+Frying Mix	魚のミンチ＋天ぷら粉
ORG	223	튀긴 어묵	Fried Fish Cake	揚げかまぼこ
ORG	224	손질한생선+튀김가루	Sliced Fish+Frying Mix	捌いた魚＋天ぷら粉
ORG	225	튀긴 조각 닭+밥	Chicken Nugget+Rice Bowl	から揚げ+ご飯
ORG	226	튀긴 닭 계란덮밥	Chicken Nugget+Egg Rice Bowl	唐揚げ丼
ORG	227	작은 수제비 반죽	Small Hand-Torn Noodles	小さなすいとん生地
ORG	228	수제비 반죽	Hand-Torn Noodles	すいとん生地
ORG	229	밀가루 덩어리	Flour Chunk	小麦粉の塊
ORG	230	늘린 밀가루 반죽	Stretched Flour Dough	伸ばした小麦粉生地
ORG	231	밀가루 중면(1|4)	Raw Noodles (1|4)	うどん麺(1|4)
ORG	232	밀가루 중면(2|4)	Raw Noodles (2|4)	うどん麺(2|4)
ORG	233	밀가루 중면(3|4)	Raw Noodles (3|4)	うどん麺(3|4)
ORG	234	밀가루 중면	Raw Noodles	うどん麺
ORG	235	얇은 밀가루 덩어리	Thin Flour Chunk	薄い小麦粉の塊
ORG	236	늘린 밀가루 가닥	Stretched Flour Strands	伸ばした小麦粉の紐
ORG	237	밀가루 소면(1|4)	Raw Thin Noodles (1|4)	ラーメン麺(1|4)
ORG	238	밀가루 소면(2|4)	Raw Thin Noodles (2|4)	ラーメン麺(2|4)
ORG	239	밀가루 소면(3|4)	Raw Thin Noodles (3|4)	ラーメン麺(3|4)
ORG	240	밀가루 소면	Raw Thin Noodles	ラーメン麺
ORG	241	육수	Broth	出汁
ORG	242	김치 육수	Kimchi Broth	キムチ出汁
ORG	243	끓인 육수	Boiled Broth	煮出し
ORG	244	끓인 김치 육수	Boiled Kimchi Broth	煮たキムチ出汁
ORG	245	자장 소스	Black Bean Sauce	ジャージャーソース
ORG	246	수제비	Hand-Torn Noodle Soup	すいとん
ORG	247	김치수제비	Kimchi Hand-Torn Noodle Soup	鳴門巻きすいとん
ORG	248	칼국수	Noodle Soup	うどん
ORG	249	김치칼국수	Kimchi Noodle Soup	鳴門巻きうどん
ORG	250	잔치국수	Thin Noodle Soup	ラーメン
ORG	251	김치잔치국수	Kimchi Thin Noodle Soup	鳴門巻きラーメン
ORG	252	자장면	Black Bean Noodle	ジャージャー麺
ORG	253	썬 두부+김치	Sliced Tofu+Kimchi	薄切り豆腐＋キムチ
ORG	254	두부 볶음+김치	Stir-fried Tofu+Kimchi	豆腐炒め＋キムチ
ORG	255	삶은 밀가루 중면	Boiled Noodles	ゆでうどん麺
ORG	256	삶은 밀가루 소면	Boiled Thin Noodles	ゆでラーメン麺
ORG	257	삶은 수제비 반죽	Boiled Hand-Torn Noodles	ゆですいとん生地
ORG	258	떡국용 떡	Rice Cake	お雑煮用の餅
ORG	259	떡국	Rice Cake Soup	お雑煮
ORG	260	만둣국	Dumpling Soup	水餃子
ORG	261	떡만둣국	Rice Cake Dumpling Soup	餃子お雑煮
ORG	262	계란 반죽	Egg Batter	卵生地
ORG	263	고기 반죽	Meat Batter	肉の生地
ORG	264	동그랑땡	Meatball	ミートボール
ORG	265	썬 감자	Sliced Potato	薄切りジャガイモ
ORG	266	회오리어묵	Narutomaki	鳴門巻き
ORG	267	썬 회오리어묵	Sliced Narutomaki	薄切り鳴門巻き
ORG	268	양파	Onion	玉ねぎ
ORG	269	썬 양파	Sliced Onion	薄切り玉ねぎ
ORG	270	다진 양파	Minced Onion	刻んだ玉ねぎ
ORG	271	구운 양파	Grilled Onion	焼いた玉ねぎ
ORG	272	볶은 양파	Stir-fried Onion	炒めた玉ねぎ
ORG	273	새우	Shrimp	エビ
ORG	274	구운 새우	Grilled Shrimp	焼いたエビ
ORG	275	찐 새우	Steamed Shrimp	蒸しエビ
ORG	276	핀 옥수수 반죽	Rolled Corn Dough	伸ばしたコーン生地
ORG	277	옥수수 토르티야	Corn Tortilla	コーントルティーヤ
ORG	278	돼지고기 타코(밀)	Pork Taco(Flour)	ポークタコス(小麦)
ORG	279	돼지고기 타코(옥수수)	Pork Taco(Corn)	ポークタコス(コーン)
ORG	280	소고기 타코(밀)	Beef Taco(Flour)	牛肉タコス(小麦)
ORG	281	소고기 타코(옥수수)	Beef Taco(Corn)	牛肉タコス(コーン)
ORG	282	구운 새우 타코(밀)	Grilled Shrimp Taco(Flour)	焼きエビタコス(小麦)
ORG	283	구운 새우 타코(옥수수)	Grilled Shrimp Taco(Corn)	焼きエビタコス(コーン)
ORG	284	찐 새우 타코(밀)	Steamed Shrimp Taco(Flour)	蒸しエビタコス(小麦)
ORG	285	찐 새우 타코(옥수수)	Steamed Shrimp Taco(Corn)	蒸しエビタコス(コーン)
ORG	286	돼지고기+양파	Pork+Onion	ポーク+玉ねぎ
ORG	287	소고기+양파	Beef+Onion	牛肉+玉ねぎ
ORG	288	구운 새우+양파	Grilled Shrimp+Onion	焼きエビ+玉ねぎ
ORG	289	찐 새우+양파	Steamed Shrimp+Onion	蒸しエビ+玉ねぎ
ORG	290	옥수수 반죽	Corn Dough	コーン生地
ORG	291	튀긴 밀 토르티야	Fried Flour Tortilla	揚げた小麦粉トルティーヤ
ORG	292	튀긴 옥수수 토르티야	Fried Corn Tortilla	揚げたコーントルティーヤ
ORG	293	나초(밀)	Flour Nachos	ナチョス(小麦)
ORG	294	나초(옥수수)	Corn Nachos	ナチョス(コーン)
ORG	295	우유	Milk	ミルク
ORG	296	아이스크림	Ice Cream	アイスクリーム
ORG	297	바나나	Banana	バナナ
ORG	298	초콜릿	Chocolate	チョコ
ORG	299	딸기	Strawberry	イチゴ
ORG	300	오렌지	Orange	オレンジ
ORG	301	깐 바나나	Peeled Banana	むきバナナ
ORG	302	조각낸 초콜릿	Chopped Chocolate	刻んだチョコ
ORG	303	녹인 초콜릿	Melted Chocolate	溶かしたチョコ
ORG	304	깐 오렌지	Peeled Orange	むきオレンジ
ORG	305	뭉갠 오렌지	Mashed Orange	マッシュオレンジ
ORG	306	뭉갠 딸기	Mashed Strawberry	マッシュイチゴ
ORG	307	뭉갠 바나나	Mashed Banana	マッシュバナナ
ORG	308	초코우유	Chocolate Milk	チョコミルク
ORG	309	딸기+바나나	Strawberry+Banana	イチゴ+バナナ
ORG	310	초코 파르페	Chocolate Parfait	チョコパフェ
ORG	311	바나나 파르페	Banana Parfait	バナナパフェ
ORG	312	오렌지 파르페	Orange Parfait	オレンジパフェ
ORG	313	딸기 파르페	Strawberry Parfait	イチゴパフェ
ORG	314	바나나 파르페+초콜릿	Banana Parfait+Chocolate	バナナパフェ+チョコ
ORG	315	오렌지 파르페+초콜릿	Orange Parfait+Chocolate	オレンジパフェ+チョコ
ORG	316	딸기 파르페+초콜릿	Strawberry Parfait+Chocolate	イチゴパフェ+チョコ
ORG	317	바나나 파르페+오렌지	Banana Parfait+Orange	バナナパフェ+オレンジ
ORG	318	바나나 파르페+딸기	Banana Parfait+Strawberry	バナナパフェ+イチゴ
ORG	319	오렌지 파르페+딸기	Orange Parfait+Strawberry	オレンジパフェ+イチゴ
ORG	320	바나나 파르페+초콜릿+오렌지	Banana Parfait+Chocolate+Orange	バナナパフェ+チョコ+オレンジ
ORG	321	바나나 파르페+초콜릿+딸기	Banana Parfait+Chocolate+Strawberry	バナナパフェ+チョコ+イチゴ
ORG	322	오렌지 파르페+초콜릿+딸기	Orange Parfait+Chocolate+Strawberry	オレンジパフェ+チョコ+イチゴ
ORG	323	바나나 파르페+오렌지+딸기	Banana Parfait+Orange+Strawberry	バナナパフェ+オレンジ+イチゴ
ORG	324	밀크 셰이크	Milkshake	ミルクシェイク
ORG	325	딸기바나나셰이크	Strawberry Banana Shake	イチゴバナナシェイク
ORG	326	딸기 셰이크	Strawberry Shake	イチゴシェイク
ORG	327	오렌지 셰이크	Orange Shake	オレンジシェイク
ORG	328	바나나 셰이크	Banana Shake	バナナシェイク
ORG	329	초코 셰이크	Chocolate Shake	チョコシェイク
ORG	330	초코바나나	Chocolate Banana	チョコバナナ
ORG	331	디럭스 파르페	Deluxe Parfait	デラックスパフェ
ORG	332	메이플 시럽	Maple Syrup	メープルシロップ
ORG	333	초코시럽	Chocolate Syrup	チョコシロップ
ORG	334	초코 반죽	Chocolate Batter	チョコ生地
ORG	335	계란빵	Egg Bread	卵パン
ORG	336	초코빵	Chocolate Bread	チョコパン
ORG	337	핫케이크	Pancake	ホットケーキ
ORG	338	핫케이크+베이컨	Pancake+Bacon	ホットケーキ+ベーコン
ORG	339	핫케이크+스크램블에그	Pancake+Scrambled Eggs	ホットケーキ+スクランブルエッグ
ORG	340	초코시럽핫케이크	Chocolate Syrup Pancake	チョコシロップホットケーキ
ORG	341	초코시럽핫케이크+베이컨	Chocolate Syrup Pancake+Bacon	チョコシロップホットケーキ+ベーコン
ORG	342	초코시럽핫케이크+스크램블에그	Chocolate Syrup Pancake+Scrambled Eggs	チョコシロップホットケーキ+スクランブルエッグ
ORG	343	초코핫케이크	Chocolate Pancake	チョコホットケーキ
ORG	344	초코핫케이크+베이컨	Chocolate Pancake+Bacon	チョコホットケーキ+ベーコン
ORG	345	초코핫케이크+스크램블에그	Chocolate Pancake+Scrambled Eggs	チョコホットケーキ+スクランブルエッグ
ORG	346	초코초코핫케이크	Double Chocolate Pancake	チョコチョコホットケーキ
ORG	347	초코초코핫케이크+베이컨	Double Chocolate Pancake+Bacon	チョコチョコホットケーキ+ベーコン
ORG	348	초코초코핫케이크+스크램블에그	Double Chocolate Pancake+Scrambled Eggs	チョコチョコホットケーキ+スクランブルエッグ
ORG	349	딸기핫케이크	Strawberry Pancake	イチゴホットケーキ
ORG	350	딸기핫케이크+베이컨	Strawberry Pancake+Bacon	イチゴホットケーキ+ベーコン
ORG	351	딸기핫케이크+스크램블에그	Strawberry Pancake+Scrambled Eggs	イチゴホットケーキ+スクランブルエッグ
ORG	352	구운 감자	Grilled Potato	焼きジャガイモ
ORG	353	찐 감자	Steamed Potato	蒸しジャガイモ
ORG	354	감자튀김	French Fries	フライドポテト
ORG	355	으깬 감자	Mashed Potato	マッシュポテト
ORG	356	볶은 감자	Stir-fried Potato	炒めジャガイモ
ORG	357	파스타	Pasta	パスタ
ORG	358	삶은 파스타	Boiled Pasta	ゆでパスタ
ORG	359	토마토	Tomato	トマト
ORG	360	썬 토마토	Sliced Tomato	薄切りトマト
ORG	361	구운 토마토	Grilled Tomato	焼きトマト
ORG	362	도넛	Donut	ドーナツ
ORG	363	초코도넛	Choco Donut	チョコドーナツ
ORG	364	양고기	Lamb	ラム肉
ORG	365	썬 양고기	Sliced Lamb	薄切りラム肉
ORG	366	다진 양고기	Minced Lamb	ラムひき肉
ORG	367	양고기 구이	Lamb Roast	焼いたラム肉
ORG	368	구운 썬 양고기	Grilled Sliced Lamb	焼いた薄切りラム肉
ORG	369	스테이크 소스	Steak Sauce	ステーキソース
ORG	370	버섯	Mushroom	マッシュルーム
ORG	371	썬 버섯	Sliced Mushroom	薄切りマッシュルーム
ORG	372	구운 버섯	Grilled Mushroom	焼きマッシュルーム
ORG	373	배추	Cabbage	白菜
ORG	374	썬 배추	Sliced Cabbage	薄切り白菜
ORG	375	스테이크+소스	Steak with Sauce	ステーキ＋ソース
ORG	376	돼지고기+스테이크 소스	Pork+Steak Sauce	ポーク＋ステーキソース
ORG	377	폭립	Spare Ribs	スペアリブ
ORG	378	숙성 삼겹살	Aged Pork Belly	熟成ポークバラ
ORG	379	양파+버섯	Onion+Mushroom	玉ねぎ＋マッシュルーム
ORG	380	양파+배추	Onion+Cabbage	玉ねぎ＋白菜
ORG	381	버섯+배추	Mushroom+Cabbage	マッシュルーム＋白菜
ORG	382	양파+버섯+배추	Onion+Mushroom+Cabbage	玉ねぎ＋マッシュルーム＋白菜
ORG	383	야채 육수	Vegetable Broth	野菜出汁
ORG	384	샤브샤브	Shabu-Shabu	しゃぶしゃぶ
ORG	385	훠궈	Chinese Hotpot	中華火鍋
ORG	386	조개	Clam	貝
ORG	387	볶은 조개	Stir-fried Clams	炒めた貝
ORG	388	파인애플	Pineapple	パイナップル
ORG	389	썬 파인애플	Sliced Pineapple	薄切りパイナップル
ORG	390	피자+파인애플	Pizza+Pineapple	ピザ＋パイナップル
ORG	391	파인애플 피자	Pineapple Pizza	パイナップルピザ
ORG	392	빵+치킨	B+Chicken	バンズ＋チキン
ORG	393	치킨 버거	Chicken Burger	チキンバーガー
ORG	394	썬 소고기+양념소스	Sliced Beef+Sweet&Spicy Sauce	薄切り牛肉＋ヤンニョムソース
ORG	395	양념 불고기	Sweet&Spicy Bulgogi	ヤンニョムプルコギ
ORG	396	구운 간장 주먹밥	Grilled Soy Sauce Rice Ball	焼きおにぎり
ORG	397	쌀국수 면	Rice Noodles	ライスヌードル
ORG	398	삶은 쌀국수 면	Boiled Rice Noodles	ゆでライスヌードル
ORG	399	볶은 닭	Stir-fried Chicken	炒めた鶏肉
ORG	400	닭+양파	Chicken+Onion	チキン＋玉ねぎ
ORG	401	양고기+양파	Lamb+Onion	ラム肉＋玉ねぎ
ORG	402	민트초코파르페	Mint Choco Parfait	チョコミントパフェ
ORG	403	민트초코셰이크	Mint Choco Shake	チョコミントシェイク
ORG	404	민트 시럽	Mint Syrup	ミントシロップ
ORG	405	찹쌀	Glutinous Rice	もち米
ORG	406	호떡 반죽	Hotteok Dough	ホットク生地
ORG	407	호떡	Hotteok	ホットク
